prism_id,last_name,first_name,middle_name,birth_year,birth_month,birth_day,bbref_id,espn_id,fangraphs_id,mlbam_id,nfbc_id,sfbb_id,yahoo_id
sjjnr6r6ng,Raleigh,Cal,,1996,11,26,raleica01,,21534,663728,10866,raleica01,11531
smd4jy5n5r,Romo,Drew,,2001,8,29,romodr01,,27763,691011,11914,romodr01,12134
sn96msdnxg,Palacios,Richard,,1997,5,16,palacri01,,24589,680700,10425,palacri01,12316
sp8e7ws9r4,Nelson,Ryne,,1998,2,1,nelsory01,,26253,669194,11326,nelsory01,12356
sq6q3hp7fr,Leasure,Jordan,,1998,8,15,leasujo01,,29950,673929,12028,leasujo01,62085
ssat9hdzdr,Bliss,Ryan,,1999,12,13,blissry01,,29547,669208,11941,blissry01,12358
st0rqkb7d0,Minter,A.J.,,1993,9,2,minteaj01,,18655,621345,9734,minteaj01,10794
syz08wg7dc,Torres,Gleyber,,1996,12,13,torregl01,,16997,650402,9778,torregl01,10236
sz0k0kq6aw,Rutschman,Adley,,1998,2,6,rutscad01,,26288,668939,10704,rutscad01,11732
t4mwxmp738,Riley,Austin,,1997,4,2,rileyau01,,18360,663586,9821,rileyau01,10420
t57ntwkh3r,Eflin,Zach,,1994,4,8,eflinza01,,13774,621107,9379,eflinza01,10141
t5bm9fnqfc,Martinez,Orelvis,,2001,11,19,martior01,,25967,682619,10420,martior01,11407
t5xfjdkm40,Hence,Tink,,2002,8,6,henceti01,,sa3014709,693311,12033,henceti01,12177
t60mpp05m0,Quantrill,Cal,,1995,2,10,quantca01,,19312,615698,9959,quantca01,10573
t7nnx7w7r8,Neris,Hector,,1989,6,14,nerishe01,,11804,593576,8860,nerishe01,9779
t84zmcvz34,Lewis,Royce,,1999,6,5,lewisro02,,20437,668904,10319,lewisro02,10916
t8ea82za48,White,Eli,,1994,6,26,whiteel04,,19346,642201,10821,whiteel04,11402
tctdytcqt8,Kinley,Tyler,,1991,1,31,kinlety01,,18297,641755,9938,kinlety01,10985
tdswpc8zfw,Robert,Luis,,1997,8,3,roberlu01,,20043,673357,9958,roberlu01,10765
te94kktmxg,McCutchen,Andrew,,1986,10,10,mccutan01,,9847,457705,6696,mccutan01,7977
te9efjmr98,Bart,Joey,,1996,12,15,bartjo01,,21524,663698,10245,bartjo01,11097
tem5yxq1rc,Rodriguez,Grayson,,1999,11,16,rodrigr01,,24492,680570,10207,rodrigr01,11277
